,foodId,uri,label,knownAs,nutrients,category,categoryLabel,image
0,food_bwrgmmqau78xrdazxx79obeezumz,http://www.edamam.com/ontologies/edamam.owl#Food_01001,"Butter, Salted","Butter, salted","{'ENERC_KCAL': 717.0, 'PROCNT': 0.85, 'FAT': 81.1, 'CHOCDF': 0.06, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/515/515af390107678fce1533a31ee4cc35b.jpeg
1,food_blrpqo1bp94h17apq4prgbhcuhex,http://www.edamam.com/ontologies/edamam.owl#Food_01002,"Butter, Whipped, With Salt","Butter, whipped, with salt","{'ENERC_KCAL': 731.0, 'PROCNT': 0.49, 'FAT': 78.3, 'CHOCDF': 0.0, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/ec6/ec68f0d43ed9b399c8464481f89eb225.jpg
2,food_bzaenytbm02cd4br159f4biv49jc,http://www.edamam.com/ontologies/edamam.owl#Food_01003,"Butter Oil, Anhydrous","Butter oil, anhydrous","{'ENERC_KCAL': 876.0, 'PROCNT': 0.28, 'FAT': 99.5, 'CHOCDF': 0.0, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/2b5/2b504c036c64481b224c9d74cc4a82e0.jpg
3,food_aqptx2cauhjjzubmplnjna81ev33,http://www.edamam.com/ontologies/edamam.owl#Food_01004,"Cheese, Blue","Cheese, blue","{'ENERC_KCAL': 353.0, 'PROCNT': 21.4, 'FAT': 28.7, 'CHOCDF': 2.34, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/b44/b442cfc174a1a691dca574c9b7dcb47a.jpg
4,food_au4tus5b092owgbiu8yama5yupfp,http://www.edamam.com/ontologies/edamam.owl#Food_01005,"Cheese, Brick","Cheese, brick","{'ENERC_KCAL': 371.0, 'PROCNT': 23.2, 'FAT': 29.7, 'CHOCDF': 2.79, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/702/7023ac63ef897bab1f6ea399316748d7.png
5,food_a06hreabh7agoeazgrtiobunge7b,http://www.edamam.com/ontologies/edamam.owl#Food_01006,"Cheese, Brie","Cheese, brie","{'ENERC_KCAL': 334.0, 'PROCNT': 20.8, 'FAT': 27.7, 'CHOCDF': 0.45, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/f53/f5340600239cf508f17b167265c6a1cf.jpg
6,food_bq1kaa2anb8wmsaj3in43bxxsjyh,http://www.edamam.com/ontologies/edamam.owl#Food_01007,"Cheese, Camembert","Cheese, camembert","{'ENERC_KCAL': 300.0, 'PROCNT': 19.8, 'FAT': 24.3, 'CHOCDF': 0.46, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/419/419fc950e8f2a589a11d63efb28b8bef.jpg
7,food_a8q8p7tahfewtuajrmgcrbpxtti8,http://www.edamam.com/ontologies/edamam.owl#Food_01008,"Cheese, Caraway","Cheese, caraway","{'ENERC_KCAL': 376.0, 'PROCNT': 25.2, 'FAT': 29.2, 'CHOCDF': 3.06, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/541/541e46e44ba61aec8bcd599df94c0eed.jpg
8,food_a2b3q33bnje4iual2pba2at89tzi,http://www.edamam.com/ontologies/edamam.owl#Food_01009,"Cheese, Cheddar (Includes Foods for USDA's Food Distribution Program)","Cheese, cheddar (Includes foods for USDA's Food Distribution Program)","{'ENERC_KCAL': 403.0, 'PROCNT': 22.9, 'FAT': 33.3, 'CHOCDF': 3.37, 'FIBTG': 0.0}",Generic foods,food,
9,food_b4g9w0dboo05sdaxwu1n9a3b4emv,http://www.edamam.com/ontologies/edamam.owl#Food_01010,"Cheese, Cheshire","Cheese, cheshire","{'ENERC_KCAL': 387.0, 'PROCNT': 23.4, 'FAT': 30.6, 'CHOCDF': 4.78, 'FIBTG': 0.0}",Generic foods,food,https://www.edamam.com/food-img/9e4/9e4ffc57473590221cb97ccf5354e42b.jpg
